,name,place_id,business_status,location,raiting,price_level,total_reviews,direction
385,Restaurant El Nou,ChIJ0WgGr3GYpBIRkhC4ChBhS3k,OPERATIONAL,"{'lat': 41.3944509, 'lng': 2.1372271}",4.1,2.0,103,"C. de Santa Fe de Nou Mèxic, 15, Barcelona"
386,A Vocados Fleming,ChIJtcPbZAeZpBIR9j5qGDSZTes,OPERATIONAL,"{'lat': 41.3945793, 'lng': 2.1344112}",4.2,,354,"Carrer del Dr. Fleming, 25, Barcelona"
387,9Reinas Gourmet. Restaurant argentí,ChIJG8uI43CYpBIRYcdUjQKaYkI,OPERATIONAL,"{'lat': 41.3936739, 'lng': 2.1384925}",4.5,3.0,375,"C/ de Ganduxer, 28, Barcelona"
388,Soul Argento Sarrià,ChIJKbcr7SmZpBIRekz2xELs08M,OPERATIONAL,"{'lat': 41.3945693, 'lng': 2.1344234}",4.4,,23,"Carrer del Dr. Fleming, 23, Barcelona"
389,Restaurant El Racó d'Eguilaz,ChIJMTYqA2-YpBIRbc9zIA2sY68,OPERATIONAL,"{'lat': 41.393975, 'lng': 2.1320109}",3.4,2.0,8,"Ronda del General Mitre, 23, Barcelona"
390,ÁNDELE Santa Fe,ChIJ8dRB0nqYpBIRTnBNVYyYh_o,OPERATIONAL,"{'lat': 41.3938386, 'lng': 2.1361458}",4.1,2.0,4057,"C. de Santa Fe de Nou Mèxic, 6, Barcelona"
391,Casa Carmen Illa,ChIJdRtHrfGZpBIRPzQlKYdJLVc,OPERATIONAL,"{'lat': 41.3910754, 'lng': 2.1358908}",3.7,2.0,3145,"Av. Diagonal, 640, Barcelona"
392,Tafs Restaurants S A,ChIJMd3MAnGYpBIRVQIs0dQIFnA,OPERATIONAL,"{'lat': 41.3941447, 'lng': 2.1382649}",5.0,,1,"C/ de Ganduxer, 34, Barcelona"
393,A Vocados Fleming,ChIJtcPbZAeZpBIR9j5qGDSZTes,OPERATIONAL,"{'lat': 41.3945793, 'lng': 2.1344112}",4.2,,354,"Carrer del Dr. Fleming, 25, Barcelona"
394,Ribs Doctor Fleming,ChIJFR88InCYpBIRFKYFzERvVkY,OPERATIONAL,"{'lat': 41.3934447, 'lng': 2.1356838}",3.6,2.0,2143,"Carrer del Dr. Fleming, 10, Barcelona"
