index,place_id,dine_in,reservable,serves_beer,serves_wine,vegeterian,takeout,wheel_chair_acc,tue_hours,wed_hours,thu_hours,fri_hours,sat_hours,sun_hours,mon_hours
2559,ChIJ3f80EMKipBIR35YxTKty1j0,Yes,Yes,Yes,Yes,Maybe,Yes,Maybe,12:00PM–3:00AM,12:00PM–3:00AM,12:00PM–3:00AM,12:00PM–3:00AM,12:00PM–3:00AM,12:00PM–3:00AM,12:00PM–3:00AM
2560,ChIJEd9PnY2jpBIRa2zDIpi_oUo,Yes,Yes,Yes,Yes,Yes,Yes,Yes,12:00–11:00PM,12:00–11:00PM,12:00–11:00PM,12:00–11:00PM,12:00–11:00PM,12:00–11:00PM,12:00–11:00PM
2561,ChIJEeewGuqipBIROOdVl3bpBhU,Maybe,Maybe,Maybe,Maybe,Maybe,Yes,Maybe,12:30–10:00PM,12:30–10:00PM,12:30–10:00PM,12:30–10:00PM,12:30–10:00PM,Closed,Closed
2562,ChIJSbVEK4ijpBIRZ-baFGrTKCU,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"12:30–4:00PM, 7:00–11:00PM","12:30–4:00PM, 7:00–11:00PM","12:30–4:00PM, 7:00–11:00PM","12:30–4:00PM, 7:00–11:00PM","12:30–4:00PM, 7:00–11:00PM","12:30–4:00PM, 7:00–11:00PM","12:30–4:00PM, 7:00–11:00PM"
2563,ChIJERoHa8KipBIRQFexcFRG_3E,Yes,Yes,Yes,Yes,No,Maybe,Maybe,7:00AM–1:00AM,7:00AM–1:00AM,7:00AM–1:00AM,7:00AM–1:00AM,7:00AM–1:00AM,7:00AM–1:00AM,7:00AM–1:00AM
2564,ChIJ_fhRPMKipBIRY0sC6e7eIA8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"1:00–3:45PM, 8:30–11:30PM","1:00–3:45PM, 8:30–11:30PM","1:00–3:45PM, 8:30–11:30PM","1:00–3:45PM, 8:30–11:30PM","1:00–3:45PM, 8:30–11:30PM","1:00–3:45PM, 8:30–11:30PM",Closed
2565,ChIJqX19T4mipBIRnFxECxjP77s,Yes,Yes,Yes,Yes,Maybe,Yes,Maybe,Closed,2:00–11:00PM,2:00–11:00PM,2:00–11:00PM,2:00–11:00PM,2:00–11:00PM,Closed
2566,ChIJb8a0J8KipBIRKjab1P2WCCA,Yes,Yes,Yes,Yes,No,Yes,Maybe,7:30AM–9:00PM,7:30AM–9:00PM,7:30AM–9:00PM,7:30AM–9:00PM,9:00AM–7:00PM,Closed,7:30AM–9:00PM
2567,ChIJ2bMrKcKipBIRbwJJZhi2aNA,Yes,Yes,Yes,Yes,No,Yes,Yes,"1:00–4:30PM, 8:30PM–12:00AM","1:00–4:30PM, 8:30PM–12:00AM","1:00–4:30PM, 8:30PM–12:00AM","1:00–4:30PM, 8:30PM–12:00AM","1:00–4:30PM, 8:30PM–12:00AM","1:00–4:30PM, 8:30PM–12:00AM",Closed
2568,ChIJgbc02UmjpBIRlIbVI7FoN74,Yes,Maybe,Yes,Yes,Maybe,Yes,Yes,8:30AM–7:00PM,8:30AM–7:00PM,8:30AM–7:00PM,8:30AM–7:00PM,9:00AM–1:00PM,Closed,8:30AM–7:00PM
